
B a
萬 -4.753687743434612D
葉 -7.977809721980714D
著 -7.90413871727987D
處 -5.724427722436359D
號 -6.921890017613918D
行 -6.455883728800803D
袋 -8.435051099612599D
裡 -4.6551526094304D
角 -7.1252830915107115D
記 -8.48965523364745D
許 -7.971712142112596D
记 -8.48965523364745D
许 -7.971712142112596D
貫 -9.336953094034653D
贯 -9.336953094034653D
起 -6.47067888771755D
趟 -6.9229544136697045D
路 -5.544947762064307D
身 -7.219550790115595D
車 -7.959627402897524D
載 -7.656302553375289D
輛 -5.630081707900363D
輩 -8.69259607764414D
輪 -6.00050589612066D
輯 -10.05419782617366D
车 -7.959627402897524D
轮 -6.00050589612066D
载 -7.656302553375289D
辆 -5.630081707900363D
辈 -8.69259607764414D
辑 -10.05419782617366D
辰 -10.400474062891494D
通 -7.766355014916817D
週 -5.631251640762676D
遍 -6.084826722999676D
道 -5.678594214040406D
遭 -7.7063129739499505D
郎 -9.267960222547702D
部 -4.190566650575563D
鄉 -8.680173557645583D
酉 -10.104208246748321D
醜 -9.477310451729576D
里 -4.6551526094304D
重 -7.11619801928824D
量 -4.577428167408474D
金 -9.742418202142819D
銖 -10.156851980233743D
錘 -9.640635507832876D
錠 -8.884967970291596D
鎊 -7.11232954251032D
鐘 -5.933377589967531D
钟 -5.933377589967531D
铢 -10.156851980233743D
锤 -9.640635507832876D
锭 -8.884967970291596D
镑 -7.11232954251032D
門 -6.4572197343435445D
開 -7.608674504386034D
間 -6.328798300482106D
闋 -11.059719691775758D
门 -6.4572197343435445D
间 -6.328798300482106D
阕 -11.059719691775758D
队 -6.912361094268039D
阵 -5.276715359071424D
陣 -5.276715359071424D
隊 -6.912361094268039D
集 -8.674019692071205D
雙 -6.132949215132425D
零 -9.896568881970076D
面 -6.093152395513604D
響 -8.14014877918733D
頁 -6.9912629005057845D
頂 -7.697032164875478D
頃 -6.164370553137298D
項 -5.485286889147405D
頓 -6.581625588355642D
頭 -5.975008172061441D
顆 -6.075200244810061D
類 -5.731196483170654D
页 -6.9912629005057845D
顶 -7.697032164875478D
顷 -6.164370553137298D
项 -5.485286889147405D
顿 -6.581625588355642D
颗 -6.075200244810061D
餐 -8.750490056063043D
餘 -6.150502079249621D
首 -6.8112244497263985D
駕 -8.580384087037212D
驾 -8.580384087037212D
鬥 -8.20708826186244D
點 -4.291686355968758D
齊 -13.767769892877967D
齐 -13.767769892877967D

E mg

E mq
一 -4.6932290491070185D
三 -9.028338763993148D
下 -9.028338763993148D
丝 -6.516033140017034D
乘 -7.236579294765093D
亿 -7.9297264753250385D
付 -7.182512073494817D
代 -6.195125419936932D
件 -2.257167150131112D
份 -3.348166154976081D
伏 -8.181040903605945D
伙 -4.906595227582933D
会 -4.361759949876413D
位 -5.399563233948918D
例 -7.354362330421477D
億 -7.9297264753250385D
儿 -6.463389406531611D
兒 -6.463389406531611D
分 -3.578731949898885D
初 -7.354362330421477D
千 -10.126951052661259D
升 -10.126951052661259D
卡 -10.126951052661259D
发 -9.028338763993148D
口 -6.991456836732108D
台 -7.9297264753250385D
回 -3.578731949898885D
场 -2.820419653721753D
場 -2.820419653721753D
夥 -4.906595227582933D
安 -10.126951052661259D
室 -8.047509510981422D
帮 -5.185308630051954D
幫 -5.185308630051954D
年 -7.236579294765093D
度 -0.6835960095756023D
挂 -7.2937377086050414D
掛 -7.2937377086050414D
摩 -7.824365959667213D
斤 -8.517513140227157D
方 -7.487893723045999D
时 -5.221676274222829D
星 -6.991456836732108D
時 -5.221676274222829D
會 -4.361759949876413D
月 -7.642044402873258D
朝 -5.178191162283089D
期 -9.433803872101313D
本 -10.126951052661259D
条 -3.4857688829206666D
样 -10.126951052661259D
根 -4.697605423706817D
條 -3.4857688829206666D
樣 -10.126951052661259D
次 -4.186779799940826D
池 -8.181040903605945D
点 -3.653060356308983D
特 -7.729055779862887D
發 -9.028338763993148D
百 -10.126951052661259D
等 -5.282763966202666D
紀 -5.783145630807574D
級 -8.335191583433202D
絲 -6.516033140017034D
级 -8.335191583433202D
纪 -5.783145630807574D
脚 -3.8597505041198956D
腳 -3.8597505041198956D
船 -8.517513140227157D
色 -5.2069701268331325D
行 -7.2937377086050414D
袋 -6.759655222674784D
路 -8.335191583433202D
軸 -8.740656691541368D
輛 -5.008957240244503D
轴 -8.740656691541368D
辆 -5.008957240244503D
道 -5.356266428195593D
鐘 -5.696134253817944D
钟 -5.696134253817944D
陆 -9.433803872101313D
陸 -9.433803872101313D
面 -3.194503161088749D
點 -3.653060356308983D

E n
一 -8.846426172993333D
丁 -9.076882371153829D
七 -12.446474413400653D
丈 -10.302494350583245D
三 -9.931469732455373D
上 -6.614005597783129D
下 -6.586448212772056D
丐 -10.627315969984483D
丑 -10.987859390701136D
专 -11.325883218013768D
世 -7.818238954481566D
丘 -8.830165652121552D
业 -4.151092328064847D
丛 -8.862955474944544D
东 -6.732521610090375D
丝 -8.330150944459778D
丞 -10.949831995111897D
两 -10.079350799269037D
严 -10.024625899579789D
並 -12.413684590577661D
个 -11.336812288545959D
丫 -12.184110148933161D
中 -8.024426104377286D
串 -9.714273752066159D
丸 -9.359987776578198D
丹 -9.659407671980219D
为 -6.881826300311871D
主 -6.675137137822524D
丽 -12.184110148933161D
举 -9.59000420718017D
久 -15.847671795062809D
么 -15.847671795062809D
义 -5.514872407944236D
之 -10.877858495486809D
乌 -11.858687748498534D
乐 -7.432289869793256D
乖 -11.147191429270393D
乘 -11.147191429270393D
乙 -12.321311270446646D
九 -11.516938454776477D
乞 -14.7490595063947D
习 -10.107878882883574D
乡 -7.809482615089606D
书 -6.267148129123101D
乱 -8.969345326771483D
乳 -9.763172381987637D
亂 -8.969345326771483D
了 -12.086471679369247D
争 -6.7411375918122145D
事 -5.627258951605258D
二 -9.838858609620214D
亍 -15.154524614502863D
于 -9.349389645586374D
亏 -10.711873358012546D
云 -8.113112950708052D
五 -7.976360591739402D
井 -8.421122722665503D
亚 -11.252551944928218D
亞 -11.252551944928218D
亡 -10.458600065246307D
亢 -12.381935892263082D
交 -8.288112299055108D
产 -5.644709478005948D
亨 -12.292323733573395D
亩 -11.18423270095074D
京 -10.649174763796983D
亭 -10.147228221672123D
亮 -8.927987945215397D
亲 -6.487360896510331D
人 -4.134609413428624D
什 -11.955851496952182D
仁 -9.6491930785705D
仄 -12.413684590577661D
仆 -9.57290977382087D
仇 -11.120283976350468D
今 -9.858710378172946D
介 -8.660770774651176D
从 -9.359987776578198D
仑 -9.503791360936477D
仓 -10.01578931777929D
仔 -10.850459521298694D
仕 -10.810719192649179D
他 -11.59917655301345D
仗 -9.384642338142138D
付 -10.107878882883574D
仙 -8.868526519993999D
代 -5.880974729128796D
令 -6.63823182832979D
以 -15.154524614502863D
仨 -15.154524614502863D
仪 -8.409876673390876D
们 -6.481696131555177D
仰 -9.015718229496953D
仲 -10.700177318249356D
件 -5.599106284433611D
价 -5.646378586904048D
任 -6.45334458697361D
份 -5.715376761588032D
仿 -11.203280895921436D
企 -10.884827164802902D
伊 -11.557212353914418D
伍 -8.262898717450609D
伎 -12.321311270446646D
伏 -13.362765145274809D
伐 -8.78633742815237D
休 -12.381935892263082D
众 -6.714536493995597D
优 -12.628795970194608D
伙 -8.502952740913136D
会 -4.748006742791946D
伞 -10.326210877200563D
传 -9.001791919798759D
伤 -8.739427655331268D
伦 -11.212942806833173D
伪 -10.830391958247883D
伯 -9.160563187196294D
估 -14.7490595063947D
伴 -8.500372094319644D
伶 -12.292323733573395D
伸 -13.768230253382972D
伽 -10.810719192649179D
佃 -15.847671795062809D
位 -5.477373204180109D
低 -8.823022764609172D
佐 -12.903232815896368D
体 -4.798004759434096D
何 -8.940917016414256D
余 -9.268420583052707D
佚 -12.803149357339386D
佛 -9.394046796170116D
作 -6.832495087893879D
佞 -12.351164233596329D
佣 -12.957300037166643D
佩 -11.59917655301345D
佬 -12.11000217677944D
使 -7.95671507892389D
侄 -10.627315969984483D
來 -9.953268960797958D
例 -6.564452777674053D
侍 -10.20222489741957D
供 -11.822320104327659D
依 -14.7490595063947D
侠 -10.891844737461549D
侣 -9.816986534801545D
侧 -9.59000420718017D
侨 -10.004127378031448D
侩 -13.075083072823027D
侪 -13.768230253382972D
侮 -12.210085635336423D
侯 -9.036427416461516D
侶 -9.816986534801545D
便 -9.567275956102614D
促 -12.851939521508818D
俊 -12.957300037166643D
俎 -13.768230253382972D
俑 -10.864065173354472D
俗 -8.232373455236994D
俘 -10.638185642221387D
保 -10.549354428514771D
俠 -10.891844737461549D
信 -7.747206904033446D
俩 -10.326210877200563D
俪 -12.712177579133659D
修 -14.461377433942918D
俸 -12.712177579133659D
倆 -10.326210877200563D
倉 -10.01578931777929D
個 -11.336812288545959D
倌 -11.67328452516717D
倍 -14.7490595063947D
們 -6.481696131555177D
倒 -12.903232815896368D
候 -5.7225618475844096D
倪 -11.120283976350468D
倫 -11.212942806833173D
债 -7.622972233095574D
值 -5.4484824089065365D
假 -8.493949464663178D
偏 -13.282722437601272D
停 -14.461377433942918D
健 -9.725178985548423D
側 -9.59000420718017D
偶 -9.48809792639043D
偷 -10.942397016624378D
偻 -12.413684590577661D
偽 -10.830391958247883D
傅 -8.649488217960865D
傑 -10.29859571016759D
傘 -10.326210877200563D
備 -6.509642061945736D
储 -11.59917655301345D
傭 -12.957300037166643D
傳 -9.001791919798759D
債 -7.622972233095574D
傷 -8.739427655331268D
僂 -12.413684590577661D
像 -7.542434965570217D
僑 -10.004127378031448D
僕 -9.57290977382087D
僚 -8.500372094319644D
僧 -9.455754681670207D
僮 -12.236753882418585D
僵 -14.7490595063947D
價 -5.646378586904048D
儀 -8.409876673390876D
儈 -13.075083072823027D
儒 -11.822320104327659D
儕 -13.768230253382972D
儡 -10.877858495486809D
優 -12.628795970194608D
儲 -11.59917655301345D
儷 -12.712177579133659D
儿 -5.976655782673643D
元 -7.029633544668509D
兄 -7.9163870335369175D
兆 -9.673885691160871D
兇 -10.326210877200563D
先 -9.117847724573332D
光 -6.349824365949131D
克 -7.561402342279743D
兒 -5.976655782673643D
兔 -10.449509093545055D
党 -6.606220428061573D
兜 -10.987859390701136D
入 -6.400916329579176D
內 -8.499084264135215D
全 -11.325883218013768D
兩 -10.079350799269037D
八 -10.318242707551384D
公 -7.688011057999432D
六 -14.238233882628707D
兰 -9.502035434234212D
共 -15.847671795062809D
关 -7.141843684796024D
兴 -10.216460013241443D
兵 -6.226215643469647D
其 -13.20861446544755D
具 -6.965141286629186D
典 -7.780836480645472D
兹 -15.847671795062809D
养 -7.908869546908328D
兽 -8.742706346792966D
冀 -14.461377433942918D
内 -8.499084264135215D
冈 -11.896428076481381D
冊 -9.432574835891213D
册 -9.432574835891213D
冑 -11.111473346668312D
冒 -12.210085635336423D
冕 -11.720537410017716D
写 -10.009941347896868D
军 -5.347355249640333D
农 -8.642779284858136D
冠 -8.8873240659615D
冢 -12.589575257041327D
冤 -13.139621593960598D
冪 -15.847671795062809D
冬 -10.519795626273227D
冰 -10.682885821139294D
冲 -9.084942288130929D
况 -5.575244815767966D
冶 -14.238233882628707D
冷 -11.147191429270393D
冻 -10.7914259897145D
净 -15.154524614502863D
准 -6.7587084092532255D
凇 -13.650447217726589D
凉 -13.901761646007495D
凌 -11.61356529046555D
凍 -10.7914259897145D
凝 -14.7490595063947D
几 -10.379611653927677D
凤 -10.671522062488979D
凭 -11.174842960600902D
凰 -9.514392166923118D
凳 -9.958793836729928D
凶 -10.326210877200563D
凸 -11.642979175671842D
凹 -11.688788711703136D
出 -8.10483583963206D
击 -11.147191429270393D
函 -10.529551801218592D
凿 -13.449776522264438D
刀 -8.132994321261881D
刃 -10.454044248710447D
分 -5.606605475478987D
切 -11.516938454776477D
刊 -8.25480150721799D
刑 -8.825695371990648D
划 -6.228671424081942D
列 -8.220614378043875D
则 -6.681178822866902D
刚 -9.851219706443787D
创 -7.7105684054235075D
判 -10.238199999877848D
別 -7.202965283347611D
刨 -13.768230253382972D
利 -6.378125988627394D
别 -7.202965283347611D
刮 -14.7490595063947D
制 -6.17077121561865D
刷 -11.736797930889496D
券 -5.597337436906928D
刹 -10.850459521298694D
刺 -10.079350799269037D
刻 -7.814662296466141D
剂 -7.2878023293661345D
則 -6.681178822866902D
削 -14.238233882628707D
前 -12.756629341704492D
剎 -10.850459521298694D
剑 -8.927987945215397D
剛 -9.851219706443787D
剧 -7.050123306581251D
剪 -12.803149357339386D
副 -11.165540567938589D
割 -11.42883118726621D
創 -7.7105684054235075D
劃 -6.228671424081942D
劇 -7.050123306581251D
劈 -12.292323733573395D
劍 -8.927987945215397D
劑 -7.2878023293661345D
力 -4.653987871452126D
办 -9.390902139490645D
功 -8.665319683177547D
加 -11.060180052280762D
务 -5.466212443631768D
劣 -10.627315969984483D
动 -6.320333296300792D
助 -10.850459521298694D
劫 -11.59917655301345D
劲 -10.574672236499062D
劳 -9.705634389475453D
势 -5.33645879402073D
勁 -10.574672236499062D
勃 -11.99752419335275D
勇 -11.896428076481381D
勋 -10.362874861572154D
勒 -10.012861058000203D
動 -6.320333296300792D
務 -5.466212443631768D
勝 -9.63908176896618D
勞 -9.705634389475453D
勢 -5.33645879402073D
勤 -9.278190374648512D
勳 -10.362874861572154D
勺 -10.99564153114319D
勾 -14.7490595063947D
包 -7.996789130252957D
化 -6.365169162292881D
北 -10.330218898598101D
匙 -9.46585577765671D
匝 -15.154524614502863D
匠 -8.659259058565855D
匣 -10.46317673227372D
匪 -9.528703681316374D
匯 -7.864914093051695D
匹 -9.486369317489814D
区 -5.07115598071214D
医 -8.448885519642861D
匾 -12.292323733573395D
區 -5.07115598071214D
十 -12.292323733573395D
千 -11.416854996219495D
升 -13.901761646007495D
午 -12.589575257041327D
卉 -9.945038461661442D
半 -11.99752419335275D
华 -9.173110403248383D
协 -11.642979175671842D
卑 -9.071164802690625D
卒 -9.714273752066159D
協 -11.642979175671842D
单 -7.667911301362908D
卖 -12.957300037166643D
南 -9.153109736541714D
卜 -9.571028305721164D
卡 -8.47492542865848D
卢 -11.120283976350468D
卤 -12.589575257041327D
卦 -10.318242707551384D
卧 -12.446474413400653D
卫 -8.589259644467502D
卯 -13.449776522264438D
印 -9.220954045813784D
危 -10.61656317820822D
卵 -10.302494350583245D
卷 -9.007125265774121D
卿 -10.230900697396237D
厂 -6.809187930032817D
厄 -13.768230253382972D
厅 -7.7655785168844265D
历 -7.686582282217011D
压 -7.414947760273021D
厌 -13.20861446544755D
厕 -11.076987170597144D
厘 -13.362765145274809D
厚 -10.766267430078345D
原 -6.4903780101304624D
厢 -9.394046796170116D
厥 -9.126246094272165D
厦 -9.379973068958455D
厨 -12.086471679369247D
厩 -12.480375965076334D
厭 -13.20861446544755D
厮 -9.807417083785394D
去 -13.362765145274809D
县 -8.465547429325296D
参 -9.442443337031968D
參 -9.442443337031968D
叉 -9.972741064210778D
及 -11.516938454776477D
友 -6.822697610066806D
发 -7.712031891708422D
叔 -8.836457807712442D
变 -8.395849558534879D
叙 -12.756629341704492D
叟 -12.957300037166643D
叠 -13.449776522264438D
叢 -8.862955474944544D
口 -5.734693467666258D
古 -9.366094665786378D
句 -9.13836745480451D
只 -8.959099335497445D
叭 -9.969936013283169D
可 -9.7838865863752D
台 -6.633239805183372D
史 -5.88681196266881D
右 -11.262704316392236D
叶 -7.3393175523137755D
号 -6.552530821394161D
司 -4.45560408786604D
叽 -12.756629341704492D
吃 -11.085497860265052D
合 -8.323650379856684D
吉 -12.1340997283585D
吊 -11.736797930889496D
同 -7.637275539958034D
名 -6.963754323854837D
后 -7.467903279558243D
吏 -8.566974599678067D
吐 -11.915846162338482D
向 -6.480498629059837D
吕 -13.768230253382972D
君 -9.271202226014584D
吞 -14.7490595063947D
吟 -13.768230253382972D
吠 -12.086471679369247D
否 -15.154524614502863D
吧 -9.926093375418994D
吨 -14.055912325834754D
吩 -12.851939521508818D
含 -12.381935892263082D
听 -10.61656317820822D
吶 -10.864065173354472D
吸 -12.184110148933161D
吻 -10.20222489741957D
吼 -14.7490595063947D
呀 -13.449776522264438D
呂 -13.768230253382972D
呆 -14.238233882628707D
呈 -12.184110148933161D
告 -6.1904684862825325D
呐 -10.864065173354472D
呓 -12.803149357339386D
员 -5.284412889790455D
呢 -11.283323603594972D
呤 -11.642979175671842D
周 -9.215670017667179D
味 -7.596529655972057D
呼 -10.230900697396237D
命 -6.94236313387352D
和 -8.272087143505017D
咏 -12.063482161144547D
咒 -11.516938454776477D
咙 -9.866257583808327D
咪 -12.158792340948873D
咬 -14.461377433942918D
咯 -12.628795970194608D
咳 -12.515467284887604D
咽 -12.480375965076334D
品 -4.830026742523108D
哄 -15.847671795062809D
哈 -12.756629341704492D
哌 -15.847671795062809D
响 -8.439141228168182D
哑 -12.756629341704492D
哚 -12.086471679369247D
員 -5.284412889790455D
哥 -7.024318309949017D
哨 -10.358734068906122D
哩 -14.7490595063947D
哲 -12.628795970194608D
唇 -8.760933860552232D
唑 -11.381763676408225D
唱 -10.290843733363271D
商 -6.302074210021957D
啉 -11.935648789634662D
問 -7.972932669890998D
啞 -12.756629341704492D
啡 -9.375325500561908D
啤 -14.7490595063947D
啦 -15.154524614502863D
啶 -10.69438020056503D
啸 -10.306408249904383D
啼 -12.184110148933161D
喀 -12.236753882418585D
喃 -11.347862124732544D
善 -11.77013435115709D
喇 -14.055912325834754D
喉 -9.788548599481011D
喘 -10.481695780040956D
喜 -9.09774060127424D
喝 -13.075083072823027D
單 -7.667911301362908D
喱 -14.7490595063947D
喷 -14.461377433942918D
喹 -14.055912325834754D
喻 -10.486379629353383D
嗓 -14.238233882628707D
嗝 -13.014458451006591D
嗣 -11.935648789634662D
嗥 -12.669617964714863D
嗪 -11.584991918021492D
嘘 -13.139621593960598D
嘛 -9.427676866915666D
嘯 -10.306408249904383D
嘰 -12.756629341704492D
嘱 -10.241869728766812D
嘴 -9.812190362538052D
嘶 -12.11000217677944D
噓 -13.139621593960598D
噜 -11.557212353914418D
噤 -12.55183492905848D
器 -5.681935369331891D
噪 -13.768230253382972D
噴 -14.461377433942918D
噸 -14.055912325834754D
噻 -14.7490595063947D
嚎 -13.282722437601272D
嚏 -11.051881249466067D
嚕 -11.557212353914418D
嚣 -13.545086702068764D
嚨 -9.866257583808327D
嚴 -10.024625899579789D
囂 -13.545086702068764D
囈 -12.803149357339386D
囊 -8.643522503026869D
囑 -10.241869728766812D
囚 -11.59917655301345D
四 -10.209317125729063D
回 -13.282722437601272D
因 -6.406775412056962D
囡 -13.362765145274809D
团 -6.022578309954692D
囤 -15.154524614502863D
囪 -10.72370781565955D
园 -7.028449937487869D
囱 -10.72370781565955D
围 -6.832495087893879D
固 -14.7490595063947D
国 -5.142720918483276D
图 -7.35928968550069D
囿 -12.628795970194608D
圃 -11.18423270095074D
圄 -13.075083072823027D
圆 -9.241021608864592D
圈 -8.278260002612097D
國 -5.142720918483276D
圍 -6.832495087893879D
園 -7.028449937487869D
圓 -9.241021608864592D
圖 -7.35928968550069D
團 -6.022578309954692D
土 -6.720821733585651D
圣 -11.405020538572492D
